original_hm,target
"Meeting up with my nephew and niece at my brother's home was awesome, we had fun together.",affection
"The prospect of weekend coming as it is Friday today and my upcoming vacation leave on Monday, so it's a long relaxing weekend for me!",leisure
We bought a new rug for our family room.,achievement
We got a big federal and state tax refund. I was able to get my Surface Pro,achievement
I'm leaving work an hour early today! ,enjoy_the_moment
I met a new girlfriend.,affection
I got my salary credited today morning to my bank account and that moment feels happy.,enjoy_the_moment
Taking my wife out for a much deserved date night and time of relaxation.,affection
I graduated college,achievement
I enjoyed working from home.,enjoy_the_moment
I was finally able to turn the air condition on as the weather turned warm indicating that it's finally time to spend my evenings outside!,nature
past 3 days ago my semester results are coming . i will clear my all subject.,achievement
One of my co-workers was leaving the office so we all went out and had a small going away get-together for him. During that get-together I became closer to one of my friends at work. ,bonding
My boyfriend took me to Steak & Shake for a late night treat when I was feeling sad.,affection
I was happy when spring finally arrived and I was able to plant my garden. ,nature
"What made me happy yesterday was the fact that I got to spend some quality time with my wife, we went to a play and a sportsman show.",affection
Went fir a walk with my dog. The weather was perfect and it was so nice to be outside.,nature
I watched my favorite comedian do a comeback special.,enjoy_the_moment
"I interviewed for a high paying job.  I was very nervous since there were 3 rounds of the interviews and the final one was a very technical tough coding  challenge round.  Much to my surprise, I performed very well and when I heard from the interviewer that he would talk to the hiring manager and inform him that interview went very well it was like music to my ears. ",achievement
My strawberry plants started flowering and producing fruit.,achievement
Seeing my dog run to me when I got home from work. ,affection
Getting a few shifts off of work so i can focus more on school made me happy as school will help me get a better job.,achievement
We met our son's new girlfriend and she was very nice and sweet and really seemed to like my son.,affection
"I got to take a nap yesterday, and I woke up feeling refreshed.",enjoy_the_moment
I found something unexpected in a video game I am playing.,leisure
My package came in the mail today from eBay. The best thing about this was that I wasn't expecting it for at least another two days so I was pleasantly surprised when I saw that it was delivered. ,enjoy_the_moment
I bought rice noodles on sale at a great price. Rice noodles are my favorite!,enjoy_the_moment
Had really good sex with my boyfriend.,affection
I got to get out of work earlier in the day.,enjoy_the_moment
I got to sleep in today.,leisure
I confirmed that my father-in-law would be there for my daughter's high school graduation.,affection
Playing video games in the evening after not having enough free time to do so last week or over the weekend.,leisure
my younger sister marriage all family members will meet very enjoyfull,affection
My son can now follow simple directions.,affection
I am staying the night at my friends house to help him feel at ease.,bonding
I had some Taco Bell. I try not to eat out all that much but hey sometimes other people in the house are like let's get tacos and you can't say no to them. Especially when Taco Bell is your favorite place to eat.,enjoy_the_moment
Yesterday i attended the dog training program and now i am very happy and i know how to train my puppy in a simple process.,affection
The day I finally asked my girlfriend out. ,affection
Finding out that my best friend was pregnant again. She hasn't had any luck in that department so for her to have this happen finally was a great feeling. ,bonding
"After my daughter finished high school, seeing her go off to college.",affection
I was practicing guitar and I figured out a part of a song that was stuck in my head.,leisure
My husband brought toys for my son its fabulous its too good my son so happy am too,affection
Found out that my child received a fully paid internship for the summer.,affection
We got to Facetime with our grandchild and watch him play a new game with his daddy.,affection
"Watching the premiere of American Gods, new TV show.",leisure
"I was awarded a $1,500 scholarship from the alumni association in my school.",achievement
I got to socialize with friends.,bonding
I have learned a lot about a hobby that I am studying and after a lot of work I am getting better at it.,achievement
"My son, who lives in another state, posted photos of himself, his wife and my granddaughter's first trip to Sea World in Orlando.  ",affection
I'm currently watching WrestleMania right now.,leisure
I watched episode 2 of attack on titan season 2.,leisure
I picked up my children from their visit with their dad. I missed them and was really happy to have them home again.,affection
"when i climbed into bed last night, it felt really relaxing to just watch a couple youtube vids and feel free.",leisure
Getting all my errands done and completed.,achievement
I learned how to play the main part of a song I really like on the piano.,achievement
My mother in law gave gold chain to my wife in the evening. I am very happy to see that gold chain.,affection
It made me happy when found out that last month I made more money than I've made in awhile in a single month. ,achievement
I had dinner with a friend I hadn't seen in years.,bonding
Earlier this week my supervisor emailed us saying that she will be out of the office for the next two weeks.,bonding
I finished all my work.,achievement
My mom bought me some clothing that I liked.,affection
I registered for college classes that I wanted!,achievement
My friend from New York called today with some exciting news that she had just become engaged. I am so excited for her.,bonding
last month my wife told to me she become pregnant. so i am really happy to heart that all day.,affection
I booked a plane ticket for a trip to Ethiopia.,leisure
My wife gave birth to a healthy baby boy despite my persisting worry that something would go wrong.,affection
"While I was preparing dinner, my youngest grandson entered the kitchen wearing my cap and announced: ""I'm Grandpa"". We laughed together.",affection
"Got a huge blessing of a $1,150 bill we could not pay being brought down to zero!",enjoy_the_moment
I had three of my friends come over for a visit.,bonding
I enjoyed the ride over to the beach with my fiancee and our conversations. I enjoy riding in the car with him since we love each other and have good conversations.,affection
I was happy because I was able to increase my savings this week.,achievement
MY FRIEND ALWAYS THAT DAY LONG TRIP FOR MORE PLACES WITH ENJOYABLE FOR US. THAT A MOMENT IS REALLY UNFORGETTABLE EXPERIENCE IN MY LIFE HISTORY. WE ARE SO ENJOYED AND LOVED THAT MOMENT.,bonding
I went to a NFL game with my best friend.,bonding
I had a really good burrito for breakfast again today.  ,enjoy_the_moment
I had a phone call with a friend. ,bonding
I WENT TO COMPUTER CLASS.,achievement
My son is was chosen by his band section leader to perform in several performances outside of the normal band activities.,achievement
"One of the happiest moment was my sister,s wedding.it was 3 months before and the whole family was so happy for her.",affection
"Very often people donat remember their day-by-day routine, but if something unusual or extra ordinary happens. It can be memorable and remarkable for the rest of their lives. For me, such remarkable yesterday event was the light show of dancing fountains. I saw this show for the first time yesterday and feel so happy.",enjoy_the_moment
My wife and I hosted our daughter's second birthday party and my dad's house.,affection
I spent the day with my family yesterday and had a nice home cooked meal. ,affection
I finally figured out one of the main things that's been plaguing me at work lately.,achievement
I officially booked my vacation for the summer with my wife.,affection
I took a long walk to the library and burned some calories.,exercise
"Yesterday i propose my love. She accept my love,and i am so happy the moment,she present a greetings card and i am also gave a gift. Then we saw the picture in theatre.Then we return their home.We spoke 30 minutes in phone,i am so happy &enjoy the moment.",affection
I finished an enjoyable book.,achievement
"Last month, I received a letter stating that I have been accepted into the nursing program that I had applied for.  It is a very tough program to get into.  Last year they had around 700 applications and can only accept 100 or so! ",achievement
I was able to take a walk at a nice park. It was a nice day as well for the walk.,nature
EVERY MOMENT OF MY LIFE IS HAPPY BECAUSE  I LEAVE THE LIFE IN PRESENT BUT HAPPIEST MOMENT WHEN ACHIEVE IN LIFE SOME NEW.,achievement
I had a good conversation with a coworker.,bonding
I went took an impromptu road trip to a neighboring state to visit relatives I hadn't seen in five years.,affection
My boyfriend got an offer for a new job that is a much better fit for him.,affection
Last Month i attended my friends birthday party and i was very happy to see all of my old friends and we discussed about our past moments.,bonding
Got the top prize in a video game I routinely play,achievement
i talked my old teachers today,bonding
Played videogames for a whole hour on a morning.,leisure
when my dad bought me my favorite casio edifice watch.,affection
When I managed to bake bread with yeast for the first time,achievement
"I watched a documentary called, ""Being Elmo - A Puppeteer's Journey"" which was fascinating and awe inspiring. ",leisure
BIRTHDAY PARTY CELEBRATES WITH MY BEST FRIENDS & FAMILY,affection
I felt happy after finishing a long day of work.,achievement
I landed a new job that is really promising and something that I'll be able to build off of for the future.,achievement
What made me happy this month is watching my son learn new things. ,affection
My toddler skipped into school this morning without crying and happy to see her friends and teachers.,affection
I have successfully completed my project and my client appreciated me very much,achievement
Got a call from my old friend and we shared many things happened in the past. It was a nice feeling and experience.,bonding
I feel happy by going to school.,enjoy_the_moment
My town had their annual junk disposal day and the garbage man let me toss more than is normally allowed.,enjoy_the_moment
I was able to secure office space that I was looking for at a great price and this made me feel very happy and excited. ,achievement
The day I got Dez Bryants autograph on a football.,achievement
I resolved an issue with my bank where money had gone missing.,achievement
I went to an escape room with friends.,bonding
Started feeling healthier after a couple of months of treatment for my chronic throat infection.,enjoy_the_moment
"On a whim, my boyfriend and I went to a different grocery store than our usual and found a really good deal on tofu. ",affection
I worked on some turk hits,achievement
I went for a trip with my family.,affection
I just celebrated my birthday. It was an exciting day spent with my immediate family and friends.,affection
"I got a meal at Texas Road House comped to me due to bad service, and a free appetizer.",enjoy_the_moment
Finishing up reading Dante's Inferno that I have been chipping away for the last couple months,achievement
i went for a nice long walk with my husband this morning.,affection
"I finished building the new enclosure for our rabbits, which is much bigger and gives them more running/play space.",affection
My baby got to play at an play place with other kids.  He was finally crawling around with them.  He is just learning how to crawl and I was really proud of him for trying so hard!,affection
Met up and got dinner with friends last night.,bonding
